Date,Price,Open,High,Low,Close
20-Dec-19,1.1078,1.1123,1.1123,1.1066,1.1059
19-Dec-19,1.1122,1.1113,1.1146,1.1108,1.1078
18-Dec-19,1.1113,1.115,1.1156,1.1111,1.1122
17-Dec-19,1.115,1.1142,1.1176,1.1128,1.1113
16-Dec-19,1.1144,1.1123,1.116,1.1123,1.115
13-Dec-19,1.1121,1.113,1.1201,1.1112,1.1144
12-Dec-19,1.113,1.113,1.1156,1.1103,1.1121
11-Dec-19,1.113,1.1092,1.1146,1.107,1.113
10-Dec-19,1.1093,1.1064,1.1098,1.1062,1.113
9-Dec-19,1.1064,1.1056,1.108,1.1052,1.1093
6-Dec-19,1.1059,1.1106,1.1111,1.104,1.1064
5-Dec-19,1.1104,1.1079,1.111,1.1078,1.1059
4-Dec-19,1.1078,1.1082,1.1117,1.1067,1.1104
3-Dec-19,1.1083,1.1079,1.1095,1.1066,1.1078
2-Dec-19,1.1079,1.1014,1.1091,1.1003,1.1083
29-Nov-19,1.1017,1.1009,1.103,1.0981,1.1079
28-Nov-19,1.1009,1.0999,1.102,1.0999,1.1017
27-Nov-19,1.0999,1.1019,1.1025,1.0991,1.1009
26-Nov-19,1.102,1.1014,1.1027,1.1007,1.0999
25-Nov-19,1.1014,1.1024,1.1033,1.1003,1.102
22-Nov-19,1.1024,1.1059,1.1087,1.1015,1.1014
21-Nov-19,1.1059,1.1074,1.1098,1.1052,1.1024
